,Player,Pos,GP,G,A,Pts,PIM,PPG,SHG,GWG,Shts,SOG,S%,SG%,GB,TOC,CTO,FO,FW,FO%,team,year
268,Jack Near,M,6.0,1.0,2.0,3.0,0.5,0.0,0.0,0.0,6.0,4.0,16.7,25.0,11.0,2.0,6.0,0.0,0.0,,Redwoods LC,2020
269,Patrick Harbeson,M,6.0,1.0,1.0,2.0,1.5,0.0,0.0,0.0,6.0,5.0,16.7,20.0,16.0,3.0,11.0,0.0,0.0,,Redwoods LC,2020
270,Greg Puskuldjian,F,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,2.0,62.0,22.0,35.5,Redwoods LC,2020
271,Tyler Dunn,M,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,2.0,0.0,3.0,0.0,0.0,,Redwoods LC,2020
272,Peyton Smith,F,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.0,1.0,0.0,66.0,25.0,37.9,Redwoods LC,2020
273,Gunnar Waldt,G,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Redwoods LC,2020
274,Hugh Crance,LSM,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,3.0,4.0,0.0,0.0,,Redwoods LC,2020
275,Garrett Epple,D,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,17.0,6.0,9.0,0.0,0.0,,Redwoods LC,2020
276,Finn Sullivan,D,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,7.0,0.0,4.0,0.0,0.0,,Redwoods LC,2020
277,Edwin Glazener,D,6.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,,Redwoods LC,2020
278,Tim Troutner,G,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,12.0,2.0,3.0,0.0,0.0,,Redwoods LC,2020
279,John Sexton,D,6.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.0,2.0,0.0,0.0,11.0,1.0,9.0,0.0,0.0,,Redwoods LC,2020
280,Nick Ossello,"M,D",6.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,0.0,5.0,2.0,0.0,0.0,Redwoods LC,2020
281,Totals,,131.0,52.0,31.0,93.0,16.0,9.0,0.0,0.0,242.0,145.0,21.5,35.9,167.0,74.0,70.0,130.0,47.0,36.2,Redwoods LC,2020
282,Kieran McArdle,"A,F",5.0,8.0,6.0,14.0,2.0,0.0,0.0,0.0,26.0,18.0,30.8,44.4,6.0,15.0,2.0,0.0,0.0,,Waterdogs LC,2020
283,Connor Kelly,M,5.0,7.0,1.0,10.0,0.0,2.0,0.0,0.0,31.0,18.0,22.6,38.9,5.0,3.0,1.0,0.0,0.0,,Waterdogs LC,2020
284,Zach Currier,M,4.0,4.0,3.0,7.0,0.0,1.0,0.0,0.0,8.0,5.0,50.0,80.0,20.0,6.0,2.0,0.0,0.0,,Waterdogs LC,2020
285,Ben McIntosh,F,5.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,21.0,16.0,28.6,37.5,3.0,2.0,1.0,0.0,0.0,,Waterdogs LC,2020
286,Christian Cuccinello,M,5.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,10.0,7.0,30.0,42.9,2.0,3.0,0.0,0.0,0.0,,Waterdogs LC,2020
287,Wesley Berg,F,5.0,1.0,4.0,5.0,0.5,0.0,0.0,0.0,12.0,9.0,8.3,11.1,3.0,4.0,1.0,0.0,0.0,,Waterdogs LC,2020
288,Drew Snider,M,5.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,26.0,15.0,15.4,26.7,4.0,1.0,0.0,0.0,0.0,,Waterdogs LC,2020
289,Ryan Drenner,A,5.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,14.0,6.0,21.4,50.0,5.0,5.0,2.0,0.0,0.0,,Waterdogs LC,2020
290,Ryland Rees,M,5.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,10.0,5.0,20.0,40.0,16.0,3.0,6.0,0.0,0.0,,Waterdogs LC,2020
291,Steve DeNapoli,"M,D",5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,4.0,14.3,25.0,14.0,1.0,6.0,0.0,0.0,,Waterdogs LC,2020
292,Ben Reeves,A,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,,Waterdogs LC,2020
293,Drew Simoneau,FO,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,100.0,11.0,2.0,1.0,53.0,29.0,54.7,Waterdogs LC,2020
294,Daniel Eipp,A,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,100.0,2.0,0.0,0.0,0.0,0.0,,Waterdogs LC,2020
295,Jake Withers,M,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,3.0,59.0,34.0,57.6,Waterdogs LC,2020
296,Charlie Cipriano,G,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,,Waterdogs LC,2020
297,Patrick Foley,D,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,1.0,3.0,0.0,0.0,,Waterdogs LC,2020
298,BJ Grill,D,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.0,1.0,6.0,0.0,0.0,,Waterdogs LC,2020
299,Kyle McClancy,M,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,2.0,0.0,0.0,,Waterdogs LC,2020
300,Brodie Merrill,D,5.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,,,10.0,1.0,3.0,0.0,0.0,,Waterdogs LC,2020
301,Matt DeLuca,G,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,2.0,2.0,0.0,0.0,,Waterdogs LC,2020
302,Chris Sabia,D,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,10.0,2.0,5.0,0.0,0.0,,Waterdogs LC,2020
303,Noah Richard,D,5.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,4.0,3.0,0.0,0.0,11.0,4.0,4.0,0.0,0.0,,Waterdogs LC,2020
304,Totals,,109.0,42.0,22.0,69.0,8.5,4.0,0.0,0.0,186.0,117.0,22.6,35.9,157.0,60.0,51.0,112.0,63.0,56.3,Waterdogs LC,2020
305,Matt Rambo,A,6.0,7.0,18.0,25.0,0.0,0.0,0.0,0.0,22.0,14.0,31.8,50.0,6.0,15.0,1.0,0.0,0.0,,Whipsnakes LC,2020
306,Zed Williams,A,6.0,20.0,3.0,23.0,0.0,0.0,0.0,0.0,59.0,37.0,33.9,54.1,9.0,16.0,3.0,0.0,0.0,,Whipsnakes LC,2020
307,Brad Smith,A,6.0,8.0,7.0,15.0,0.0,0.0,0.0,0.0,29.0,20.0,27.6,40.0,10.0,7.0,0.0,0.0,0.0,,Whipsnakes LC,2020
308,Mike Chanenchuk,M,6.0,8.0,4.0,14.0,0.0,3.0,0.0,0.0,28.0,16.0,28.6,50.0,4.0,6.0,1.0,0.0,0.0,,Whipsnakes LC,2020
309,Jay Carlson,A,6.0,12.0,1.0,13.0,0.5,2.0,0.0,0.0,26.0,22.0,46.2,54.5,17.0,4.0,0.0,0.0,0.0,,Whipsnakes LC,2020
310,John Haus,M,6.0,8.0,5.0,13.0,0.0,0.0,0.0,0.0,32.0,21.0,25.0,38.1,9.0,8.0,1.0,0.0,0.0,,Whipsnakes LC,2020
311,Michael Ehrhardt,D,6.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,9.0,4.0,22.2,50.0,26.0,2.0,7.0,0.0,0.0,,Whipsnakes LC,2020
312,Joe Nardella,M,6.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,8.0,5.0,37.5,60.0,65.0,5.0,1.0,138.0,100.0,72.5,Whipsnakes LC,2020
313,Joe LoCascio,M,6.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,18.0,12.0,27.8,41.7,1.0,2.0,0.0,0.0,0.0,,Whipsnakes LC,2020
314,Max Tuttle,M,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,5.0,23.1,60.0,6.0,3.0,0.0,0.0,0.0,,Whipsnakes LC,2020
315,Tim Muller,D,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,100.0,10.0,1.0,5.0,0.0,0.0,,Whipsnakes LC,2020
316,Jeremy Sieverts,M,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,25.0,33.3,2.0,3.0,0.0,0.0,0.0,,Whipsnakes LC,2020
317,Isaac Paparo,D,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,,Whipsnakes LC,2020
318,Matt Hubler,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Whipsnakes LC,2020
319,Kyle Bernlohr,G,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,12.0,3.0,1.0,0.0,0.0,,Whipsnakes LC,2020
320,TJ Comizio,M,6.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,,6.0,1.0,1.0,0.0,0.0,,Whipsnakes LC,2020
321,Brett Schmidt,"D,A",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,1.0,0.0,0.0,0.0,,Whipsnakes LC,2020
322,Bryce Young,D,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,,9.0,1.0,3.0,0.0,0.0,,Whipsnakes LC,2020
323,Matt Dunn,D,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,7.0,1.0,2.0,0.0,0.0,,Whipsnakes LC,2020
324,Joe McCallion,M,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,1.0,0.0,11.0,4.0,36.4,Whipsnakes LC,2020
325,Jacob Stover,G,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,Whipsnakes LC,2020
326,Tyler Warner,M,6.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,,Whipsnakes LC,2020
327,Jake Bernhardt,"M,F",6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,,Whipsnakes LC,2020
328,Totals,,132.0,78.0,45.0,127.0,9.5,5.0,0.0,0.0,258.0,164.0,30.2,47.6,223.0,84.0,33.0,149.0,104.0,69.8,Whipsnakes LC,2020
