,Player,Pos,GP,G,A,Pts,PIM,PPG,SHG,GWG,Shts,SOG,S%,SG%,GB,TOC,CTO,FO,FW,FO%,team,year
147,Drew Snider,M,10.0,6.0,3.0,9.0,,0.0,0.0,0.0,30.0,20.0,20.0,30.0,12.0,3.0,5.0,0.0,0.0,,Whipsnakes LC,2019
148,Jake Bernhardt,M,9.0,5.0,2.0,7.0,,0.0,0.0,0.0,20.0,13.0,25.0,38.5,7.0,6.0,3.0,1.0,0.0,0.0,Whipsnakes LC,2019
149,Jay Carlson,A,4.0,3.0,2.0,5.0,,0.0,0.0,0.0,12.0,8.0,25.0,37.5,5.0,1.0,0.0,0.0,0.0,,Whipsnakes LC,2019
150,Joe LoCascio,M,8.0,3.0,2.0,5.0,,0.0,0.0,0.0,23.0,9.0,13.0,33.3,2.0,4.0,0.0,0.0,0.0,,Whipsnakes LC,2019
151,Bryce Young,D,10.0,2.0,3.0,5.0,,0.0,0.0,0.0,6.0,3.0,33.3,66.7,34.0,6.0,12.0,0.0,0.0,,Whipsnakes LC,2019
152,Jeremy Sieverts,M,4.0,3.0,1.0,4.0,,0.0,0.0,0.0,10.0,5.0,30.0,60.0,0.0,2.0,0.0,0.0,0.0,,Whipsnakes LC,2019
153,Isaac Paparo,LSM,5.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,100.0,100.0,5.0,2.0,3.0,10.0,2.0,20.0,Whipsnakes LC,2019
154,Tim Muller,D,10.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,100.0,100.0,19.0,1.0,6.0,0.0,0.0,,Whipsnakes LC,2019
155,Tyler Warner,M,10.0,1.0,0.0,1.0,,0.0,0.0,0.0,4.0,1.0,25.0,100.0,18.0,0.0,5.0,0.0,0.0,,Whipsnakes LC,2019
156,Jeff Reynolds,M,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,,Whipsnakes LC,2019
157,Joe McCallion,M,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,,Whipsnakes LC,2019
158,Dylan Maltz,A,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,Whipsnakes LC,2019
159,James Barclay,D,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,,Whipsnakes LC,2019
160,Dan Morris,G,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Whipsnakes LC,2019
161,Tim Rotanz,M,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,Whipsnakes LC,2019
162,Brett Schmidt,D,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,1.0,2.0,0.0,0.0,,Whipsnakes LC,2019
